Course_ID,Course_Name,Category,Duration (hours),Enrolled_Students,Completion_Rate (%),Platform,Price ($),Rating (out of 5)
1,Course_1,Office Tools,21,4217,50.646827,Coursera,38.79742459,4.81125161
2,Course_2,Office Tools,57,4238,82.2402398,edX,160.6509909,3.829329394
3,Course_3,Technology,52,2700,55.72902846,LinkedIn Learning,123.503781,4.85195008
4,Course_4,Office Tools,69,4308,58.66472943,LinkedIn Learning,116.7757039,3.913731844
5,Course_5,Technology,43,4792,62.59814748,Udemy,96.24669563,4.921968099
6,Course_6,Finance,66,3792,96.67190043,edX,127.5099202,3.252283462
7,Course_7,Marketing,29,2607,71.83044121,Coursera,155.5411168,4.101806832
8,Course_8,Design,21,964,99.0762724,edX,79.94094433,3.088730487
9,Course_9,Programming,57,1246,78.81762244,LinkedIn Learning,174.6774799,4.498471276
10,Course_10,Design,59,489,58.89606776,edX,82.09481901,3.341867502
11,Course_11,Finance,80,3118,92.79344906,edX,194.0497336,3.716273442
12,Course_12,Data Science,88,1590,60.89317065,LinkedIn Learning,62.06278646,4.604117918
13,Course_13,Programming,23,3681,85.88238253,Coursera,187.5110048,3.581095957
14,Course_14,Programming,61,3096,91.3251303,edX,50.72613534,4.213903901
15,Course_15,Business,42,3272,81.31929239,LinkedIn Learning,194.8424212,3.707730697
16,Course_16,Office Tools,40,1172,56.7268953,Coursera,24.66602546,3.051666261
17,Course_17,Programming,35,237,58.23478951,Udemy,60.79261168,3.159423911
18,Course_18,Technology,67,4418,96.34017221,LinkedIn Learning,147.7579773,3.528666548
19,Course_19,Finance,21,1548,90.76913265,edX,45.05792075,3.801424621
20,Course_20,Marketing,17,2884,64.6325012,LinkedIn Learning,18.86043394,4.442078565
21,Course_21,Office Tools,48,1025,93.51465765,LinkedIn Learning,19.11184521,4.270262092
22,Course_22,Data Science,62,2673,92.43578376,Udemy,140.8863087,3.928142297
23,Course_23,Office Tools,30,1258,92.67762194,Coursera,135.3008741,4.579387884
24,Course_24,Office Tools,64,2598,51.29366136,Udemy,66.15181048,3.531685155
25,Course_25,AI,30,1076,84.11985221,Coursera,135.8662128,3.029927218
26,Course_26,Finance,77,2996,62.59945851,Udemy,178.4726812,3.261758427
27,Course_27,Office Tools,15,2940,78.79583918,Coursera,120.6397686,4.145450072
28,Course_28,Data Science,12,3613,53.06259536,Coursera,90.563899,4.517857392
